Date,Equity,Cash,Return,Peak,Drawdown
2023-03-02,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-03-03,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-03-06,1121.5703579731528,1121.5703579731528,0.0,1159.5043062757286,-0.032715659698080636
2023-03-07,1118.3917806478976,953.3348042771798,-0.0028340418437942105,1159.5043062757286,-0.0354569839933432
2023-03-08,1117.9009709138509,953.3348042771798,-0.0004388531304856391,1159.5043062757286,-0.03588027671540575
2023-03-09,1115.979801383439,953.3348042771798,-0.001718550730697821,1159.5043062757286,-0.03753716537033669
2023-03-10,1112.4786919472388,1112.4786919472388,-0.0031372516167945674,1159.5043062757286,-0.0405566534543833
2023-03-13,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-14,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-15,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-16,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-17,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-20,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-21,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-22,1112.4786919472388,1112.4786919472388,0.0,1159.5043062757286,-0.0405566534543833
2023-03-23,1112.2219357098975,945.606888155153,-0.00023079654396962468,1159.5043062757286,-0.04077808966290068
2023-03-24,1112.6959472249891,945.606888155153,0.00042618428918972384,1159.5043062757286,-0.04036928435486853
2023-03-27,1116.7052946234735,945.606888155153,0.003603273121002726,1159.5043062757286,-0.03691147279109592
2023-03-28,1116.1917821487907,945.606888155153,-0.00045984601054116503,1159.5043062757286,-0.037354345208130885
2023-03-29,1120.598873290879,778.1781208328343,0.003948327888245284,1159.5043062757286,-0.03355350452281794
2023-03-30,1121.1582405347626,778.1781208328343,0.0004991681298418538,1159.5043062757286,-0.03307108523307832
2023-03-31,1125.8788514997386,954.5894063661412,0.004210476982022149,1159.5043062757286,-0.028999853294200597
2023-04-03,1136.110513322455,1136.110513322455,0.009087711176994917,1159.5043062757286,-0.02017568440811855
2023-04-04,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-05,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-06,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-10,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-11,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-12,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-13,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-14,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-17,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-18,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
